start_time;wind_production;nuclear_production;hydro_production;total_production;surplus_deficit;reserve_small_scale_production
2025-07-22 04:00:00+00:00;234.47949999999997;4044.7599999999998;951.0260000000001;6562.2300000000005;85.53065500000001;28.0
2025-07-22 05:00:00+00:00;44.5075;4043.3;1151.15;6750.35;-17.09999999999988;25.0
2025-07-22 06:00:00+00:00;30.026050000000005;4044.6;1159.67;6837.32;-111.9125;24.3
2025-07-22 07:00:00+00:00;45.09765;4046.1549999999997;1112.09;6936.365;-66.86939999999998;23.0
2025-07-22 08:00:00+00:00;137.2733;4045.7200000000003;952.8219999999999;6949.93;8.60700000000001;21.3
2025-07-22 09:00:00+00:00;226.11849999999998;4048.5799999999995;822.9119999999999;6920.695;4.902100000000012;20.7
2025-07-22 10:00:00+00:00;250.37599999999998;4051.69;789.2675;6826.65;-241.08;19.0
2025-07-22 11:00:00+00:00;271.6485;4048.285;758.441;6727.410000000001;-241.542;18.1
2025-07-22 12:00:00+00:00;338.196;4048.5600000000004;752.9855;6779.280000000001;46.888900000000014;19.0
2025-07-22 13:00:00+00:00;261.8765;4050.875;754.5274999999999;6648.3949999999995;47.491000000000014;19.0
2025-07-22 14:00:00+00:00;204.22;4051.4;924.8715;6722.214999999999;-168.168;19.0
2025-07-22 15:00:00+00:00;207.89749999999998;4054.6099999999997;1182.1950000000002;6884.1;-305.775;19.0
2025-07-22 16:00:00+00:00;118.30050000000001;4054.1549999999997;1481.6299999999999;6984.485000000001;-272.04499999999996;19.0
2025-07-22 17:00:00+00:00;127.2515;4054.825;1479.93;6895.195;-414.1;21.0
2025-07-22 18:00:00+00:00;176.449;4053.665;1285.01;6675.4800000000005;-645.135;22.0
2025-07-22 19:00:00+00:00;194.0995;4052.7350000000006;1338.725;6691.484999999999;-406.12499999999994;24.1
2025-07-22 20:00:00+00:00;215.62449999999998;4052.1749999999993;1203.8;6575.305;-114.65889999999999;25.7
2025-07-22 21:00:00+00:00;293.5;4051.175;873.9455;6309.915;-60.20809999999999;28.799599999999998
2025-07-22 22:00:00+00:00;321.7;4051.0550000000003;745.121;6197.8550000000005;96.76115000000001;31.9
2025-07-22 23:00:00+00:00;293.27750000000003;4050.6;680.5265;6099.515;179.845;33.0
2025-07-23 00:00:00+00:00;269.77599999999995;4049.2300000000005;663.9069999999999;6074.635;119.64349999999999;34.7
2025-07-23 01:00:00+00:00;322.6215;4050.065;721.8555;6182.95;206.10500000000002;35.0
2025-07-23 02:00:00+00:00;369.274;4049.5049999999997;674.6695000000001;6229.575;232.01;35.0
2025-07-23 03:00:00+00:00;370.929;4051.275;751.8799999999999;6383.94;209.25;28.9
2025-07-23 04:00:00+00:00;336.4515;4053.175;948.0635;6704.709999999999;227.45;24.1
2025-07-23 05:00:00+00:00;231.15749999999997;4053.09;1025.4875;6845.425;186.69500000000002;22.3
2025-07-23 06:00:00+00:00;104.85184999999998;4050.2300000000005;1163.41;6981.590000000001;213.34500000000003;19.9
2025-07-23 07:00:00+00:00;29.050349999999998;4054.46;1158.29;7058.315;185.7875;18.8
2025-07-23 08:00:00+00:00;30.2505;4052.625;1044.1299999999999;7048.375;104.26950000000002;17.0
2025-07-23 09:00:00+00:00;48.996300000000005;4051.44;1004.198;7106.219999999999;140.108;17.0
2025-07-23 10:00:00+00:00;74.7239;4050.05;1046.5404999999998;7140.275;75.1315;17.0
2025-07-23 11:00:00+00:00;187.39249999999998;4048.34;1014.677;7206.955;222.6645;17.0
2025-07-23 12:00:00+00:00;307.149;4048.845;985.3005;7265.405000000001;298.89;17.0
2025-07-23 13:00:00+00:00;411.44300000000004;4046.9549999999995;1183.3849999999998;7520.6849999999995;368.68;17.3
2025-07-23 14:00:00+00:00;413.554;4045.5100000000007;1425.335;7630.9800000000005;240.00500000000002;19.0
2025-07-23 15:00:00+00:00;333.424;4046.6099999999997;1380.595;7319.8;154.20300000000003;19.0
2025-07-23 16:00:00+00:00;319.02200000000005;4047.8599999999997;1547.415;7328.975;179.85150000000002;19.0
2025-07-23 17:00:00+00:00;335.6315;4049.28;1512.8899999999999;7178.83;78.9585;19.0
2025-07-23 18:00:00+00:00;403.6915;4047.9049999999997;1384.0149999999999;6991.31;82.90085000000002;20.84995
2025-07-23 19:00:00+00:00;454.72599999999994;4046.6800000000003;1301.4650000000001;6874.45;-37.0639;24.1
2025-07-23 20:00:00+00:00;463.47800000000007;4050.46;1183.5549999999998;6758.860000000001;-72.07154999999999;25.3
2025-07-23 21:00:00+00:00;441.70149999999995;4052.225;850.894;6384.5;-282.42499999999995;29.2
2025-07-23 22:00:00+00:00;359.949;4049.0449999999996;724.4105;6197.610000000001;-30.580649999999984;32.3
2025-07-23 23:00:00+00:00;301.47799999999995;4050.69;751.822;6130.525;-29.02849999999999;34.0998
2025-07-24 00:00:00+00:00;210.106;4051.2050000000004;756.7635;6028.455;-36.63399999999999;35.0
2025-07-24 01:00:00+00:00;110.0787;4051.9549999999995;738.233;5914.205;-29.274114999999988;35.44345
2025-07-24 02:00:00+00:00;100.57355;4052.3700000000003;675.668;5906.37;77.3215;35.6
2025-07-24 03:00:00+00:00;146.9005;4052.1699999999996;865.8995000000001;6240.495000000001;162.4075;26.700200000000002
2025-07-24 04:00:00+00:00;108.0749;4050.935;1186.9405;6709.615;244.15750000000003;21.4
2025-07-24 05:00:00+00:00;66.2536;4048.975;1310.1550000000002;6949.25;79.93185000000001;20.9
